srcNodeId	dstNodeId	wallTime	hasUserGesture	method	referrerPolicy	type
61B93F65A13F669D8E148FA1FD08072C_EBAFEF512D1BCE16EDC7F34DF1D3743D	61B93F65A13F669D8E148FA1FD08072C_F3AFE1C79F3DBFD4C59DFCD62021C57A					Navigation
61B93F65A13F669D8E148FA1FD08072C_F3AFE1C79F3DBFD4C59DFCD62021C57A	61B93F65A13F669D8E148FA1FD08072C_DFCD2857BF5C3255C57CF1B83FC0F4DE					Navigation
61B93F65A13F669D8E148FA1FD08072C_DFCD2857BF5C3255C57CF1B83FC0F4DE	61B93F65A13F669D8E148FA1FD08072C_719BC757CD2655D9D82544E81B5B6EA2					Navigation
